run_id,episodes,mean_reward_100,total_episodes,learning_rate,gamma,n_steps,ent_coef,vf_coef,max_grad_norm,net_arch
0,5408,24.6673,5408,0.0001,0.9,64,0.1,0.25,0.5,"[200, 200, 200]"
1,5652,27.9349,5652,0.0001,0.99,32,0.1,0.25,10.0,"[128, 128]"
2,3265,22.6046,3265,0.0003,0.95,32,0.05,0.25,0.5,"[128, 128]"
3,3408,62.7016,3408,0.0003,0.99,64,0.05,0.5,10.0,"[128, 128]"
4,3287,63.4107,3287,0.0003,0.95,16,0.1,0.5,1.0,"[128, 128]"
5,2879,56.8828,2879,0.0007,0.9,16,0.05,0.5,0.5,"[128, 128]"
6,2504,70.5347,2504,0.0003,0.95,16,0.1,0.25,10.0,"[200, 200, 200]"
7,6322,16.1952,6322,0.0001,0.9,64,0.1,0.25,10.0,"[128, 128]"
8,2383,83.1512,2383,0.0007,0.99,32,0.01,0.5,1.0,"[200, 200, 200]"
9,2119,95.1763,2119,0.0003,0.9,16,0.01,0.75,1.0,"[200, 200, 200]"
