run_id,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,target_update_interval,net_arch,mean_reward,std_reward,max_reward,min_reward,episodes,total_steps,mean_length,final_10_mean
0,0.0003,0.9,100000,128,0.5,0.05,1000,"[200, 200, 200]",,,,,,,,
1,0.0001,0.95,100000,128,0.4,0.02,500,"[256, 256]",,,,,,,,
2,0.0005,0.9,50000,64,0.5,0.05,1000,"[128, 128, 128]",18.148758249874863,43.886057237180076,373.9330749511719,-67.31182098388672,4301,100003,23.236456637991164,49.02559280395508
3,0.0003,0.99,100000,128,0.3,0.01,1000,"[200, 200, 200]",29.091604232788086,49.76140594482422,318.8369445800781,-62.22569274902344,3303,100000,30.275204359673026,49.670677185058594
4,0.001,0.9,50000,64,0.5,0.1,500,"[128, 128]",19.478652954101562,42.72984313964844,297.4742736816406,-57.65935516357422,4266,100000,23.439521800281295,65.96995544433594
5,0.0001,0.9,100000,128,0.6,0.05,2000,"[256, 256, 256]",16.210351943969727,42.5644645690918,239.81515502929688,-72.475341796875,4544,100000,22.003521126760564,68.57975006103516
6,0.0005,0.95,50000,64,0.4,0.02,1000,"[200, 200]",29.342741012573242,53.46760559082031,307.41668701171875,-65.41920471191406,3386,100000,29.533077377436502,91.32435607910156
7,0.0003,0.9,100000,128,0.5,0.05,500,"[128, 128]",21.852386474609375,46.73515701293945,290.5477600097656,-70.61231231689453,4046,100000,24.69154720711814,58.27907180786133
8,0.001,0.95,50000,64,0.3,0.01,1000,"[64, 64]",32.99494552612305,53.148468017578125,345.2024230957031,-60.77385330200195,3146,100000,31.77972027972028,59.40580368041992
9,0.005,0.99,100000,128,0.3,0.1,1000,"[256, 256]",8.640854835510254,34.99180603027344,208.59213256835938,-67.65394592285156,4726,100000,21.158696572154042,13.772195816040039
