run_id,episodes,mean_reward_100,total_episodes,learning_rate,gamma,clip_range,n_steps,batch_size,n_epochs,ent_coef,gae_lambda,net_arch
0,3176,46.5456,3176,0.0001,0.95,0.2,512,128,40,0.05,0.95,"[256, 256]"
1,2677,68.5752,2677,0.0001,0.99,0.1,512,128,20,0.01,0.9,"[128, 128, 128]"
2,3156,57.1603,3156,0.0001,0.95,0.1,512,64,10,0.05,0.95,"[256, 256]"
3,2846,62.5075,2846,0.0003,0.9,0.2,1024,128,20,0.01,0.9,"[200, 200, 200]"
4,2221,73.2086,2221,0.0001,0.99,0.2,512,64,10,0.01,0.9,"[256, 256]"
5,3513,47.6459,3513,0.0001,0.95,0.3,1024,64,40,0.1,0.9,"[256, 256]"
6,3436,55.0618,3436,0.0001,0.99,0.3,2048,128,40,0.1,0.95,"[256, 256]"
7,2656,64.3014,2656,0.0005,0.95,0.3,1024,128,20,0.01,0.9,"[128, 128, 128]"
8,6781,-3.3825,6781,0.0005,0.95,0.2,512,128,40,0.05,0.95,"[200, 200, 200]"
9,2496,70.9548,2496,0.0001,0.99,0.3,1024,64,10,0.05,0.9,"[256, 256]"
